"sample_id","sample_path","value_type_primary","ladder_level","grade","frame116_count","duration_min","seed_touch_present","ramp_present","phase_plateau_present","phase_exit_present","joined_lifecycle_strength","family_131_primary_zone","family_260_primary_zone","family_131_260_aligned","family_fff4_presence","corridor_match_strength","id_2e4_activity_level","id_d8_structural_reference_strength","companion_primary_mode","companion_b45_abs_corr","companion_b67_abs_corr","disengage_suspect_present","lane_change_transition_present","active_core_present","late_stop_present","bridge_candidate","top_tier_peak_count","parse_errors","notes"
"toyota_all_20260426_021747_005","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_021747_005.ndjson","entry_side","1","B","10518","5.12","1","0","0","0","0","ffb6","ffb6","3","1","1","1","1","b4-b5","0.57","0.067","","","","","no","0","0",""
"toyota_all_20260426_022254_006","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_022254_006.ndjson","entry_side","3","B","10337","4.94","1","1","0","0","1","ffb6","ffb6","3","1","1","1","1","b4-b5","0.36","0.07","","","","","no","0","0",""
"toyota_all_20260426_022750_007","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_022750_007.ndjson","entry_side","","C","10209","4.89","0","1","0","0","0","fff6","fff6","2","1","1","1","1","b4-b5","0.109","0.013","","","","","no","0","0",""
"toyota_all_20260426_023243_008","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_023243_008.ndjson","entry_side","4.5_candidate","B","10320","4.88","1","1","1","0","2","f986","ffd2","2","1","1","1","1","dual","0.047","0.061","","","","","yes","1","0",""
"toyota_all_20260426_023736_009","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_023736_009.ndjson","companion_control","","C","10351","4.91","0","0","0","0","0","f986","0007","2","0","1","1","1","b4-b5","0.069","0.012","","","","","no","0","0",""
"toyota_all_20260426_024231_010","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_024231_010.ndjson","entry_side","","C","6202","3.26","0","1","0","0","0","067a","ff8c","2","1","1","1","1","b4-b5","0.562","0.004","","","","","no","0","0",""
"toyota_all_20260426_042139_000","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_042139_000.ndjson","entry_side","3","B","10558","5.02","1","1","0","0","1","f986","004f","2","1","1","1","1","b4-b5","0.563","0.02","","","","","no","0","0",""
"toyota_all_20260426_042640_001","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_042640_001.ndjson","entry_side","3","B","10453","4.91","1","1","0","0","1","0012","0012","2","1","1","1","1","b6-b7","0.094","0.273","","","","","no","0","0",""
"toyota_all_20260426_043135_002","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_043135_002.ndjson","entry_side","3","B","10317","4.89","1","1","0","0","1","005b","005b","3","1","1","1","1","b4-b5","0.459","0.01","","","","","no","0","0",""
"toyota_all_20260426_043628_003","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_043628_003.ndjson","companion_control","","D","10325","4.89","0","0","0","0","0","002d","002d","3","0","0","1","1","dual","0.863","0.863","","","","","no","0","0",""
"toyota_all_20260426_045111_006","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045111_006.ndjson","entry_side","","C","10238","4.91","0","1","0","0","0","f986","ffc4","2","1","1","1","1","b4-b5","0.494","0.085","","","","","no","0","0",""
"toyota_all_20260426_045606_007","D:\Temp\20260312\raw_can_logs\20260426\raw_can_logs\toyota_all_20260426_045606_007.ndjson","entry_side","4.5_candidate","B","10414","5.04","1","1","1","0","2","ffe7","ffe7","3","1","1","1","1","b4-b5","0.41","0.062","","","","","yes","2","0",""
